0,[[-0.493582,1.65642,0.17565],[-0.31326,1.01504,-0.257357],[-0.784736,-0.446421,1.32076],[-0.215553,-0.19757,-0.510644],[0.229241,0.15571,1.94705],[0.0497814,-0.164789,0.079682],[1.02264,0.772808,-0.196835],[-0.683538,-1.05664,0.559685],[-0.0519583,1.1947,0.489879],[-0.142608,0.274709,1.33418]]
1,[[-0.505278,1.67915,0.175011],[-0.322045,1.01919,-0.262243],[-0.775003,-0.440882,1.32197],[-0.206761,-0.201023,-0.509744],[0.23519,0.152517,1.96327],[0.0437703,-0.171567,0.0851599],[1.01924,0.772349,-0.196381],[-0.685854,-1.07976,0.557206],[-0.064314,1.21328,0.472858],[-0.134954,0.286261,1.33096]]
2,[[-0.516884,1.70165,0.174347],[-0.330773,1.02324,-0.267023],[-0.765168,-0.435296,1.32306],[-0.197895,-0.204407,-0.508579],[0.24104,0.149323,1.9793],[0.0376427,-0.178294,0.0905271],[1.0157,0.771839,-0.19589],[-0.688112,-1.10271,0.554746],[-0.0767193,1.23172,0.455708],[-0.12732,0.297729,1.32766]]
3,[[-0.528399,1.72395,0.17366],[-0.339443,1.02719,-0.271698],[-0.755233,-0.429663,1.32404],[-0.188958,-0.207724,-0.507149],[0.246795,0.146128,1.99514],[0.0314034,-0.184969,0.0957805],[1.01202,0.771278,-0.195362],[-0.690314,-1.1255,0.552304],[-0.0891739,1.25003,0.438431],[-0.119709,0.309112,1.32429]]
4,[[-0.539825,1.74603,0.172951],[-0.348054,1.03106,-0.276267],[-0.745199,-0.423982,1.3249],[-0.179957,-0.210974,-0.50545],[0.252458,0.142933,2.01081],[0.0250572,-0.191593,0.100917],[1.0082,0.770666,-0.194798],[-0.692459,-1.14813,0.549877],[-0.101678,1.26821,0.421026],[-0.112122,0.320409,1.32084]]
5,[[-0.551161,1.7679,0.172224],[-0.356605,1.03483,-0.28073],[-0.735069,-0.418253,1.32566],[-0.170895,-0.214159,-0.503483],[0.258034,0.139739,2.02631],[0.0186091,-0.198166,0.105934],[1.00424,0.770005,-0.194197],[-0.694548,-1.1706,0.547464],[-0.11423,1.28626,0.403495],[-0.104562,0.331618,1.31732]]
6,[[-0.56241,1.78957,0.171479],[-0.365095,1.03852,-0.285088],[-0.724843,-0.412476,1.32631],[-0.161778,-0.217279,-0.501245],[0.263525,0.136546,2.04163],[0.0120641,-0.204687,0.110828],[1.00014,0.769292,-0.193561],[-0.69658,-1.19292,0.545062],[-0.126832,1.30418,0.385838],[-0.0970296,0.342738,1.31371]]
7,[[-0.573571,1.81104,0.170717],[-0.373524,1.04212,-0.289339],[-0.714523,-0.40665,1.32686],[-0.15261,-0.220337,-0.498735],[0.268935,0.133355,2.05678],[0.00542769,-0.211156,0.115597],[0.995909,0.768529,-0.19289],[-0.698557,-1.21509,0.54267],[-0.139482,1.32196,0.368056],[-0.0895276,0.35377,1.31003]]
8,[[-0.584646,1.83231,0.169939],[-0.38189,1.04564,-0.293485],[-0.70411,-0.400775,1.3273],[-0.143396,-0.223332,-0.495952],[0.274265,0.130165,2.07178],[-0.00129488,-0.217572,0.120238],[0.991541,0.767716,-0.192183],[-0.700478,-1.2371,0.540287],[-0.15218,1.33961,0.35015],[-0.0820572,0.364711,1.30626]]
9,[[-0.595634,1.85338,0.169146],[-0.390193,1.04908,-0.297525],[-0.693605,-0.394851,1.32763],[-0.134141,-0.226266,-0.492895],[0.27952,0.126977,2.08661],[-0.00809802,-0.223936,0.124748],[0.987037,0.766852,-0.191441],[-0.702344,-1.25897,0.537911],[-0.164927,1.35712,0.332121],[-0.0746201,0.375561,1.30242]]
10,[[-0.606536,1.87426,0.168339],[-0.398431,1.05244,-0.30146],[-0.68301,-0.388877,1.32786],[-0.124851,-0.22914,-0.489561],[0.2847,0.123791,2.10128],[-0.014976,-0.230245,0.129126],[0.982398,0.765937,-0.190665],[-0.704155,-1.28069,0.53554],[-0.177723,1.37449,0.31397],[-0.0672174,0.386319,1.29849]]
11,[[-0.617354,1.89495,0.167518],[-0.406604,1.05572,-0.305288],[-0.672326,-0.382853,1.32798],[-0.115531,-0.231956,-0.485951],[0.289809,0.120607,2.1158],[-0.0219231,-0.236501,0.133369],[0.977626,0.764971,-0.189854],[-0.705913,-1.30226,0.533175],[-0.190566,1.39171,0.2957],[-0.0598506,0.396985,1.29448]]
12,[[-0.628087,1.91546,0.166683],[-0.414712,1.05894,-0.30901],[-0.661554,-0.376778,1.328],[-0.106185,-0.234714,-0.482063],[0.294849,0.117425,2.13018],[-0.0289332,-0.242701,0.137475],[0.972719,0.763954,-0.189009],[-0.707618,-1.3237,0.530812],[-0.203457,1.4088,0.27731],[-0.0525209,0.407557,1.29039]]
13,[[-0.638736,1.93577,0.165833],[-0.422754,1.06208,-0.312626],[-0.650695,-0.370652,1.32792],[-0.0968205,-0.237416,-0.477895],[0.299821,0.114245,2.1444],[-0.0360002,-0.248845,0.141442],[0.96768,0.762885,-0.18813],[-0.709269,-1.34499,0.528453],[-0.216396,1.42574,0.258805],[-0.0452294,0.418035,1.28622]]
14,[[-0.649303,1.95591,0.16497],[-0.430728,1.06516,-0.316137],[-0.639749,-0.364475,1.32773],[-0.0874418,-0.240062,-0.473448],[0.304728,0.111067,2.15848],[-0.0431178,-0.254933,0.145268],[0.962508,0.761765,-0.187218],[-0.710869,-1.36614,0.526095],[-0.229382,1.44253,0.240185],[-0.0379771,0.428418,1.28196]]
15,[[-0.659787,1.97586,0.164091],[-0.438636,1.06818,-0.319542],[-0.628718,-0.358246,1.32744],[-0.078055,-0.242654,-0.46872],[0.309571,0.107892,2.17241],[-0.0502796,-0.260963,0.148953],[0.957204,0.760593,-0.186271],[-0.712418,-1.38716,0.523738],[-0.242415,1.45917,0.221453],[-0.0307651,0.438705,1.27762]]
16,[[-0.67019,1.99564,0.163197],[-0.446475,1.07113,-0.322841],[-0.617603,-0.351966,1.32705],[-0.0686657,-0.245193,-0.46371],[0.314352,0.104719,2.18621],[-0.0574791,-0.266934,0.152493],[0.951769,0.759368,-0.185292],[-0.713916,-1.40805,0.521382],[-0.255493,1.47566,0.202612],[-0.0235942,0.448896,1.2732]]
